/vref_c (temperature=0) X,/vref_c (temperature=0) Y,/vref_c (temperature=27) X,/vref_c (temperature=27) Y,/vref_c (temperature=100) X,/vref_c (temperature=100) Y,/vref_p (temperature=0) X,/vref_p (temperature=0) Y,/vref_p (temperature=27) X,/vref_p (temperature=27) Y,/vref_p (temperature=100) X,/vref_p (temperature=100) Y
0.011,0.01098766960178761,0.011,0.01099846142798603,0.011,0.01099895700332005,0.011,0.0001023558796129271,0.011,0.000282938744118773,0.011,0.001847465016019549
0.012,0.01198611309624284,0.012,0.01199781492693928,0.012,0.01199859846974616,0.012,0.0001134000151078984,0.012,0.0003126173644960628,0.012,0.0020311437798559
0.013,0.01298457649249965,0.013,0.01299717469843006,0.013,0.01299824036113447,0.013,0.0001247494156724864,0.013,0.000342975331217772,0.013,0.002217443679799721
0.01400000000000001,0.01398305431687144,0.01400000000000001,0.01399653895848208,0.01400000000000001,0.0139978824162783,0.01400000000000001,0.0001364079255090468,0.01400000000000001,0.0003740177533034504,0.01400000000000001,0.002406365953085172
0.01500000000000001,0.01498154225203019,0.01500000000000001,0.01499590620613104,0.01500000000000001,0.01499752438766683,0.01500000000000001,0.0001483795095555534,0.01500000000000001,0.000405749966704222,0.01500000000000001,0.002597912137931637
0.01600000000000001,0.01598003720032289,0.01600000000000001,0.0159952752674907,0.01600000000000001,0.01599716604384065,0.01600000000000001,0.0001606682677043475,0.01600000000000001,0.0004381775607689643,0.01600000000000001,0.00279208408475784
0.01700000000000001,0.01697853725809551,0.01700000000000001,0.0169946453193526,0.01700000000000001,0.01699680717577048,0.01700000000000001,0.0001732784492501494,0.01700000000000001,0.0004713064064536499,0.01700000000000001,0.002988883973133201
0.01800000000000001,0.01797704167361563,0.01800000000000001,0.01799401585658694,0.01800000000000001,0.01799644759484645,0.01800000000000001,0.0001862144670739773,0.01800000000000001,0.0005051426818129146,0.01800000000000001,0.003188314319231528
0.01900000000000001,0.01897555061734856,0.01900000000000001,0.01899338669576994,0.01900000000000001,0.01899608713489778,0.01900000000000001,0.0001994809128997183,0.01900000000000001,0.0005396929005509385,0.01900000000000001,0.003390377988383501
0.02000000000000001,0.01997406507473275,0.02000000000000001,0.01999275791037084,0.02000000000000001,0.01999572565442327,0.02000000000000001,0.0002130825717050808,0.02000000000000001,0.000574963937226462,0.02000000000000001,0.00359507820413985
0.02100000000000001,0.02097258655658059,0.02100000000000001,0.02099212978908965,0.02100000000000001,0.02099536303383743,0.02100000000000001,0.0002270244367437638,0.02100000000000001,0.0006109630550673329,0.02100000000000001,0.003802418551452631
0.02200000000000001,0.02197111695081025,0.02200000000000001,0.021991502789646,0.02200000000000001,0.02199499916904554,0.02200000000000001,0.0002413117245043797,0.02200000000000001,0.0006476979304852283,0.02200000000000001,0.004012402988029478
0.02300000000000001,0.02296965833699,0.02300000000000001,0.02299087746177616,0.02300000000000001,0.02299463397729463,0.02300000000000001,0.0002559498892148162,0.02300000000000001,0.0006851766795940354,0.02300000000000001,0.004225035839201474
