/vref_c (temperature=0) X,/vref_c (temperature=0) Y,/vref_c (temperature=27) X,/vref_c (temperature=27) Y,/vref_c (temperature=100) X,/vref_c (temperature=100) Y,/vref_p (temperature=0) X,/vref_p (temperature=0) Y,/vref_p (temperature=27) X,/vref_p (temperature=27) Y,/vref_p (temperature=100) X,/vref_p (temperature=100) Y
3.105933274453491e-12,-5.771783647475397e-05,3.198031508548183e-12,-5.923218821768511e-05,3.444188423662245e-12,-6.113024697519879e-05,3.105933274453491e-12,-3.371579308621673e-05,3.198031508548183e-12,-3.31871817452716e-05,3.444188423662245e-12,-3.14247711343164e-05
3.206510886459159e-12,-5.824318583044703e-05,3.306652156728918e-12,-5.989895325751698e-05,3.559315614472014e-12,-6.205965155761343e-05,3.206510886459159e-12,-3.448089694138897e-05,3.306652156728918e-12,-3.404360628934115e-05,3.559315614472014e-12,-3.232037131302293e-05
3.309359979565114e-12,-5.873912885806326e-05,3.409020887932378e-12,-6.048433084555145e-05,3.709285806759538e-12,-6.319807789261323e-05,3.309359979565114e-12,-3.528975501646021e-05,3.409020887932378e-12,-3.486478943327488e-05,3.709285806759538e-12,-3.345341095383481e-05
3.409061497232997e-12,-5.918273711473624e-05,3.518723996462079e-12,-6.10681764827031e-05,3.835458076658798e-12,-6.409566324316482e-05,3.409061497232997e-12,-3.608473340581049e-05,3.518723996462079e-12,-3.57377469309263e-05,3.835458076658798e-12,-3.436261781177072e-05
3.520173110509082e-12,-5.963712614216117e-05,3.646515963998189e-12,-6.169555468387716e-05,3.961862230014897e-12,-6.494274733812117e-05,3.520173110509082e-12,-3.695610181054741e-05,3.646515963998189e-12,-3.671484453818803e-05,3.961862230014897e-12,-3.523095727276398e-05
3.636516455967427e-12,-6.00710154074134e-05,3.758470308939154e-12,-6.220148833064488e-05,4.097146970190318e-12,-6.579471696925084e-05,3.636516455967427e-12,-3.782455834121556e-05,3.758470308939154e-12,-3.752082372988012e-05,4.097146970190318e-12,-3.61237784763599e-05
3.742968791736804e-12,-6.043309857430885e-05,3.872511071349119e-12,-6.267773607191007e-05,4.258099776874775e-12,-6.673924306974306e-05,3.742968791736804e-12,-3.856696345758952e-05,3.872511071349119e-12,-3.82918545839707e-05,4.258099776874775e-12,-3.71600858985093e-05
3.854263219686245e-12,-6.077862938907532e-05,3.996807428651407e-12,-6.315497706201457e-05,4.404838024489529e-12,-6.753868608844027e-05,3.854263219686245e-12,-3.929018525219467e-05,3.996807428651407e-12,-3.90871327177232e-05,4.404838024489529e-12,-3.809565310650253e-05
3.975832571270039e-12,-6.112045180611728e-05,4.140092239381982e-12,-6.365505676628739e-05,4.543005782480717e-12,-6.824094796314407e-05,3.975832571270039e-12,-4.003340656814649e-05,4.140092239381982e-12,-3.997177984040282e-05,4.543005782480717e-12,-3.897310575661726e-05
4.1188184411889e-12,-6.147895325107857e-05,4.273998285600207e-12,-6.407746730967899e-05,4.701878439472453e-12,-6.89916572982492e-05,4.1188184411889e-12,-4.087515667690862e-05,4.273998285600207e-12,-4.07876143980831e-05,4.701878439472453e-12,-3.997123800764442e-05
4.245012047261389e-12,-6.175935993741237e-05,4.395962924583688e-12,-6.442711618810517e-05,4.896410060169372e-12,-6.983457593418304e-05,4.245012047261389e-12,-4.160888594811078e-05,4.395962924583688e-12,-4.152990162791393e-05,4.896410060169372e-12,-4.115935757351366e-05
4.361530316020137e-12,-6.199064087245982e-05,4.52706867848976e-12,-6.476866087484878e-05,5.064649666184069e-12,-7.050033091810369e-05,4.361530316020137e-12,-4.228710559031493e-05,4.52706867848976e-12,-4.232479076886786e-05,5.064649666184069e-12,-4.214644718251267e-05
4.487403866358458e-12,-6.221335986671978e-05,4.690012688270227e-12,-6.514807195462502e-05,5.224511336622713e-12,-7.108216780869207e-05,4.487403866358458e-12,-4.30181987342356e-05,4.690012688270227e-12,-4.329195167440186e-05,5.224511336622713e-12,-4.304860149059157e-05
4.644009640334223e-12,-6.245501310802137e-05,4.860588978643198e-12,-6.549638797663548e-05,5.419521460142365e-12,-7.17301281654688e-05,4.644009640334223e-12,-4.390850695408527e-05,4.860588978643198e-12,-4.42597808293247e-05,5.419521460142365e-12,-4.411140453146865e-05
4.808055248191022e-12,-6.267001334789662e-05,4.999518418718429e-12,-6.57460713989416e-05,5.696521215246912e-12,-7.254483003184504e-05,4.808055248191022e-12,-4.479681335867405e-05,4.999518418718429e-12,-4.500742015928551e-05,5.696521215246912e-12,-4.557172248631151e-05
4.940416245693553e-12,-6.281750339477368e-05,5.144262054921918e-12,-6.597655812940316e-05,5.890624880765323e-12,-7.304718525280719e-05,4.940416245693553e-12,-4.547259181666292e-05,5.144262054921918e-12,-4.574954821358364e-05,5.890624880765323e-12,-4.656441931313743e-05
5.076078948380364e-12,-6.294686818884421e-05,5.340628698716184e-12,-6.62457384331446e-05,6.10671494822007e-12,-7.354642906927474e-05,5.076078948380364e-12,-4.61281821630316e-05,5.340628698716184e-12,-4.671316321544609e-05,6.10671494822007e-12,-4.763671085250815e-05
5.249316006440603e-12,-6.308333594110303e-05,5.534346394778934e-12,-6.646697542759653e-05,6.456917756794619e-12,-7.423731341043502e-05,5.249316006440603e-12,-4.69247929768716e-05,5.534346394778934e-12,-4.763103341760856e-05,6.456917756794619e-12,-4.929019730915265e-05
